iter	RMSE
0	217481.3744
1	212018.9946
2	206709.662
3	202600.5726
4	198587.0649
5	193691.1714
6	188878.7126
7	184192.9414
8	179609.7476
9	175162.8024
10	170830.2937
11	166611.8141
12	163359.2707
13	159326.6314
14	155403.7404
15	151576.1995
16	147854.5729
17	144227.3557
18	140700.2275
19	137968.4525
20	134592.7201
21	131308.3759
22	128108.905
23	124996.8882
24	121964.9512
25	119008.3097
26	116121.2339
27	113317.2947
28	110579.1802
29	107919.6194
30	105328.1056
31	102801.328
32	100343.5026
33	97952.33791
34	95615.92934
35	93342.7272
36	91130.76199
37	88980.37672
38	86885.80109
39	84846.31703
40	82860.31148
41	80927.77416
42	79046.78807
43	77215.78638
44	75419.40507
45	73687.79139
46	72002.91587
47	70360.71099
48	68762.64463
49	67209.34605
50	65695.42709
51	64227.00158
52	62798.32256
53	61407.49759
54	60059.57512
55	58748.11848
56	57475.44237
57	56234.01513
58	55029.00127
59	53857.15993
60	52719.22576
61	51618.47256
62	50548.53853
63	49495.1331
64	48487.35664
65	47506.77675
66	46556.6149
67	45636.22855
68	44740.34423
69	43871.65769
70	43033.16821
71	42216.11797
72	41428.02787
73	40664.72724
74	39923.83963
75	39206.80024
76	38510.06888
77	37839.38939
78	37190.41136
79	36560.89078
80	35951.19663
81	35364.88807
82	34792.70678
83	34242.89725
84	33712.53846
85	33200.39026
86	32707.33674
87	32229.06516
88	31771.49451
89	31328.69351
90	30900.4359
91	30480.77943
92	30082.77696
93	29698.90735
94	29333.20369
95	28979.51058
96	28639.03083
97	28309.88288
98	27986.36673
99	27681.69068
