iter	Passed	Remaining
0	143	14232
1	145	7121
2	146	4745
3	148	3556
4	149	2845
5	151	2370
6	152	2029
7	154	1772
8	155	1572
9	156	1411
10	158	1280
11	159	1170
12	161	1077
13	162	997
14	163	927
15	165	867
16	166	814
17	168	766
18	169	722
19	170	682
20	172	647
21	173	615
22	175	586
23	176	558
24	177	533
25	179	510
26	180	488
27	182	468
28	183	449
29	185	431
30	186	414
31	187	399
32	189	384
33	190	369
34	191	356
35	193	343
36	194	331
37	196	320
38	197	309
39	198	298
40	200	288
41	201	278
42	202	269
43	204	260
44	205	251
45	207	243
46	208	235
47	210	227
48	211	220
49	213	213
50	214	206
51	215	199
52	217	192
53	218	186
54	220	180
55	221	174
56	223	168
57	224	162
58	226	157
59	227	151
60	229	146
61	230	141
62	232	136
63	234	131
64	235	126
65	237	122
66	238	117
67	240	112
68	241	108
69	243	104
70	244	100
71	246	95
72	248	91
73	249	87
74	250	83
75	252	79
76	253	75
77	255	72
78	257	68
79	258	64
80	260	61
81	261	57
82	263	53
83	264	50
84	266	46
85	267	43
86	268	40
87	270	36
88	272	33
89	274	30
90	275	27
91	276	24
92	278	20
93	279	17
94	280	14
95	281	11
96	283	8
97	285	5
98	287	2
99	288	0
